action,ftnt_action
allowed,pass
allowed,passthrough
allowed,log-only
blocked,blocked
blocked,block
deferred,monitored
deferred,analytics
blocked,detected
blocked,dropped
allowed,allowed
allowed,accept
teardown,close
blocked,deny
allowed,dns
teardown,timeout
allowed,ip-conn
allowed,allow
blocked,server-rst
teardown,client-rst
blocked,clear_session
